CELL_ID,SUBCLASS
185,L23_IT
230,L23_IT
495,L45_IT
554,Oligodendrocytes
604,L23_IT
738,L23_IT
869,L5_IT
902,L45_IT
1025,L5_IT
1101,L6_CT
1162,L45_IT
1272,Microglia
1328,L23_IT
1377,Astrocytes
1401,L5_PT
1512,Oligodendrocytes
1597,Astrocytes
1606,Vip
1789,L6_IT_Car3
1802,L5_IT
1913,L45_IT
1921,L6_IT
2073,Astrocytes
2084,SMC
2233,L23_IT
2458,L56_NP
2534,L23_IT
2575,L5_IT
2973,L5_IT
2983,L6_CT
3095,Astrocytes
3190,L45_IT
3323,L23_IT
3419,L6_IT
3425,OPC
3589,Lamp5
3671,VLMC
3986,Pvalb
4035,L23_IT
4061,L5_PT
4092,Microglia
4218,L45_IT
4324,L45_IT
4343,SMC
4352,L5_IT
4385,VLMC
4466,L45_IT
4548,L6_IT
4746,Microglia
4851,L23_IT
4892,Pvalb
5138,Oligodendrocytes
5182,Microglia
5201,Pericytes
5211,L23_IT
5661,L6_IT
5737,Endothelial
6039,L45_IT
6253,Endothelial
6273,Microglia
6373,Vip
6393,L45_IT
6461,L6_CT
6663,L23_IT
6709,L5_IT
6741,L5_IT
6811,Sst
6860,Endothelial
6920,L23_IT
7059,L23_IT
7060,L23_IT
7066,Sncg
7164,Astrocytes
7204,L23_IT
7265,Sst
7489,L45_IT
7745,L6_IT
7847,Microglia
7878,L5_PT
8006,L5_PT
8133,Endothelial
8168,Pvalb
8229,SMC
8448,Sst
8456,Endothelial
8517,L6_IT
8536,L23_IT
8636,L6_CT
8718,L45_IT
8858,L23_IT
8975,Oligodendrocytes
9285,SMC
9302,Endothelial
9457,L23_IT
9490,Pvalb
9528,Astrocytes
9701,L23_IT
9818,PVM
9863,L45_IT
9900,VLMC
9960,L23_IT
10320,L5_PT
10402,L23_IT
10407,L45_IT
10949,L45_IT
10952,Astrocytes
11051,Pericytes
11142,L6_IT
11222,Endothelial
11247,Endothelial
11289,L23_IT
11386,Astrocytes
11433,L6_CT
11519,Endothelial
11674,L6_IT
11709,Astrocytes
11775,L23_IT
11780,Astrocytes
11815,L5_IT
11832,OPC
11908,Pvalb
11954,L23_IT
12015,L23_IT
12045,L23_IT
12064,L6_CT
12145,Endothelial
12245,L23_IT
12405,Microglia
12469,OPC
12517,Astrocytes
12586,Astrocytes
12615,L45_IT
12635,L23_IT
12744,SMC
12901,L45_IT
12922,L6_IT
13072,L6_CT
13080,Astrocytes
13092,L23_IT
13201,L23_IT
13267,Astrocytes
13278,L23_IT
13312,Endothelial
13321,L56_NP
13353,L45_IT
13640,VLMC
13931,L23_IT
14061,Lamp5
14153,Endothelial
14411,VLMC
14720,Endothelial
14721,Microglia
14800,OPC
14895,L5_IT
15113,VLMC
15285,Astrocytes
15418,L23_IT
15457,Sst
15484,L45_IT
15538,L23_IT
15571,Astrocytes
15665,L45_IT
15796,L6_CT
15916,L23_IT
16044,Vip
16055,Astrocytes
16132,L6_IT
16224,Endothelial
16502,Pericytes
16504,L56_NP
16594,L5_IT
16607,Astrocytes
16608,Lamp5
16834,L23_IT
16835,L23_IT
16849,Pericytes
16865,Endothelial
17013,L45_IT
17060,L45_IT
17240,L23_IT
17428,L5_IT
17557,L23_IT
17634,L5_IT
17706,L6_CT
17767,L23_IT
17771,L23_IT
17799,L5_PT
17931,L23_IT
18074,L45_IT
18177,L23_IT
18183,Pvalb
18282,Lamp5
18418,Astrocytes
18491,OPC
18642,L23_IT
18820,PVM
18840,L23_IT
18886,L45_IT
18974,L23_IT
19165,Lamp5
19207,Pericytes
19221,L45_IT
19301,L6_CT
19377,VLMC
19389,Endothelial
19505,Microglia
19515,Microglia
19631,Microglia
19903,L45_IT
19978,L45_IT
20049,L23_IT
20057,L6_IT
20095,L45_IT
20192,L45_IT
20326,PVM
20388,L45_IT
20393,Vip
20396,L45_IT
20469,Astrocytes
20805,Oligodendrocytes
20921,L5_PT
21172,L5_IT
21249,L6_CT
21339,Endothelial
21366,L45_IT
21375,L45_IT
21415,L45_IT
21484,SMC
21560,L23_IT
21718,Endothelial
21766,L45_IT
21792,VLMC
21814,L23_IT
22029,L23_IT
22040,L23_IT
22045,L45_IT
22224,L5_IT
22440,L6_CT
22579,Astrocytes
22644,L23_IT
22658,PVM
22661,VLMC
22855,L23_IT
22856,L45_IT
23013,Pvalb
23019,L6_IT
23119,Pvalb
23169,L23_IT
23360,L6_IT_Car3
23417,Endothelial
23430,Endothelial
23439,L45_IT
23564,Astrocytes
23593,Astrocytes
23615,L23_IT
23667,L5_IT
23734,VLMC
23750,L23_IT
23926,Oligodendrocytes
23945,Pericytes
24071,L23_IT
24077,L45_IT
24081,Astrocytes
24253,L5_PT
24287,L45_IT
24298,L5_IT
24334,L23_IT
24473,PVM
24597,L23_IT
24625,Pericytes
24799,L23_IT
24814,L23_IT
24826,L45_IT
25037,L5_IT
25256,L56_NP
25288,Astrocytes
25342,L23_IT
25464,L45_IT
25487,L5_IT
25511,Endothelial
25517,Pericytes
25642,VLMC
25834,Pvalb
25844,PVM
25873,Astrocytes
25891,Astrocytes
25919,Pvalb
25942,Lamp5
25949,PVM
25978,VLMC
26076,Astrocytes
26122,L23_IT
26129,VLMC
26641,L23_IT
26680,L45_IT
26742,OPC
26754,Astrocytes
26759,Microglia
26856,VLMC
26936,Sst
26988,SMC
27136,L5_IT
27194,L23_IT
27291,L23_IT
27366,VLMC
27518,L23_IT
27597,L23_IT
27739,Endothelial
27801,L6_CT
27802,Sst
27806,L6_CT
27817,L45_IT
27957,VLMC
27982,PVM
28178,Vip
28235,L23_IT
28296,Oligodendrocytes
28338,Endothelial
28432,L23_IT
28466,L23_IT
28594,Microglia
28626,Astrocytes
28678,Microglia
29004,L45_IT
29210,L23_IT
29224,Astrocytes
29274,L6_CT
29287,Endothelial
29307,Vip
29331,Sst
29527,L23_IT
29570,L23_IT
29665,L45_IT
29702,L45_IT
29803,Oligodendrocytes
29863,L5_IT
29921,OPC
29950,SMC
30066,L6_CT
30101,L23_IT
30158,L45_IT
30366,Astrocytes
30626,L5_IT
30952,VLMC
30976,L23_IT
31008,Lamp5
31055,Vip
31206,Endothelial
31392,L5_IT
31419,Astrocytes
31649,Microglia
31754,L45_IT
31772,L45_IT
31783,L45_IT
31890,L5_PT
32020,L45_IT
32229,Pvalb
32404,Pericytes
32550,L6_CT
32570,Oligodendrocytes
32574,L23_IT
32584,PVM
32689,L45_IT
32699,L56_NP
32780,L23_IT
32849,L23_IT
32853,Endothelial
32886,L6_CT
32909,Sst
33045,L23_IT
33153,L5_PT
33170,L56_NP
33203,L6_CT
33265,L23_IT
33365,Astrocytes
33416,L45_IT
33552,Astrocytes
33639,L23_IT
33710,L23_IT
33903,Sst
33906,L6_IT
33972,L6_IT_Car3
34167,L23_IT
34357,L45_IT
34391,L45_IT
34406,L6_CT
34555,L56_NP
34588,L23_IT
34647,L6_IT_Car3
34733,L45_IT
34736,SMC
34784,L45_IT
34810,Oligodendrocytes
34910,Astrocytes
35169,L23_IT
35193,L5_IT
35689,Endothelial
35760,L45_IT
35849,L23_IT
35918,Sst
35928,L23_IT
35982,Microglia
35988,L23_IT
36079,L23_IT
36195,L6_IT
36321,L23_IT
36325,L6_CT
36363,Oligodendrocytes
36575,L6_CT
36736,Endothelial
36829,L5_PT
36910,L23_IT
36942,Pericytes
36971,Pvalb
37003,Lamp5
37006,L23_IT
37025,L6_IT_Car3
37106,L45_IT
37180,L56_NP
37216,L23_IT
37316,Oligodendrocytes
37329,Pvalb
37422,L45_IT
37765,L23_IT
37893,L5_IT
38106,L23_IT
38199,L23_IT
38216,Oligodendrocytes
38312,L5_PT
38316,L5_IT
38569,L23_IT
38582,L23_IT
38651,L45_IT
38675,Pericytes
38715,Pericytes
38724,L6_IT
38735,L6_IT
38753,L6_IT_Car3
38938,L5_PT
39151,L23_IT
39156,OPC
39170,L45_IT
39184,Oligodendrocytes
39335,Astrocytes
39365,Vip
39392,L5_PT
39419,Astrocytes
39510,VLMC
39530,Endothelial
39559,L23_IT
39791,Microglia
40123,Pericytes
40126,L45_IT
40242,Astrocytes
40247,Vip
40266,L45_IT
40381,L23_IT
40408,Vip
40424,L45_IT
40444,L45_IT
40650,L5_PT
40724,Microglia
40860,Endothelial
40908,OPC
41091,L5_PT
41326,L23_IT
41412,L6_IT
41491,L23_IT
41526,Pericytes
41537,L45_IT
41569,Pericytes
41660,Astrocytes
41756,OPC
41895,OPC
41908,L6_IT
41909,L45_IT
41938,Astrocytes
41967,L23_IT
41971,L6_CT
41996,L6_CT
42102,L23_IT
42213,L23_IT
42276,L23_IT
42385,L23_IT
42576,L45_IT
42690,L23_IT
42772,L45_IT
42856,L23_IT
42875,Oligodendrocytes
42948,Endothelial
43095,L5_IT
43229,Endothelial
43253,OPC
43344,Vip
43389,L45_IT
43393,L23_IT
43532,L6_IT_Car3
43588,SMC
43592,Astrocytes
43616,Endothelial
43731,VLMC
43940,Pvalb
43999,L23_IT
44168,L45_IT
44181,L45_IT
44417,L45_IT
44452,Astrocytes
44608,L45_IT
44819,Pvalb
44848,L23_IT
44852,L23_IT
44864,Endothelial
44928,Pvalb
45067,L45_IT
45079,L5_IT
45106,L45_IT
45269,L5_IT
45274,L5_PT
45342,VLMC
45553,L6_CT
45558,Astrocytes
45687,L6_IT
45768,Endothelial
45865,L5_IT
45918,SMC
46048,Oligodendrocytes
46099,L45_IT
46123,L23_IT
46167,L5_PT
46198,L6_CT
46499,L5_IT
46536,L23_IT
46584,Endothelial
46606,L23_IT
46679,L45_IT
46769,L23_IT
46823,L23_IT
46931,L23_IT
46965,L6_IT
47023,PVM
47185,L23_IT
47343,L5_PT
47344,L23_IT
47399,Endothelial
47526,L45_IT
47749,Astrocytes
47845,L6_CT
47913,Endothelial
47968,VLMC
48043,L5_IT
48200,Endothelial
48226,L6_CT
48335,L6_CT
48410,L45_IT
48441,L6_CT
48447,L6_CT
48498,L5_IT
48499,L23_IT
48506,Oligodendrocytes
48735,Pvalb
48745,L45_IT
48763,L45_IT
48878,Pvalb
49030,L23_IT
49334,Vip
49389,Lamp5
49481,L5_IT
49537,Pvalb
49586,L45_IT
49665,L6_IT
49711,L45_IT
49867,Microglia
49917,Endothelial
49968,Vip
50466,VLMC
50579,Endothelial
50586,PVM
50655,L23_IT
50878,Endothelial
50915,L23_IT
50978,L23_IT
51016,Sncg
51145,L45_IT
51150,L23_IT
51163,Microglia
51243,L5_IT
51259,Astrocytes
51320,L45_IT
51482,L23_IT
51610,L5_IT
51627,Astrocytes
51693,L5_IT
51768,Endothelial
51769,L5_IT
51779,PVM
51825,L6_CT
51828,Pvalb
51913,Pericytes
51916,Vip
52036,SMC
52065,L5_IT
52264,L5_IT
52275,Endothelial
52528,Endothelial
52865,L23_IT
52885,OPC
53014,PVM
53128,L45_IT
53213,Pericytes
53272,L6_CT
53360,Endothelial
53368,L6_IT
53370,Endothelial
53390,Endothelial
53398,L5_PT
53698,Pvalb
53781,L23_IT
53845,VLMC
54057,Oligodendrocytes
54151,L23_IT
54178,L5_IT
54279,Microglia
54421,L6_CT
54439,L45_IT
54443,L6_CT
54669,L6_IT
54820,L45_IT
54836,VLMC
54999,Pericytes
55217,L23_IT
55284,L6_IT_Car3
55324,Pvalb
55560,Astrocytes
55616,L45_IT
55661,L5_IT
55790,SMC
55878,OPC
55971,L6_IT
55982,OPC
56071,L23_IT
56157,L45_IT
56382,Pvalb
56388,Pvalb
56400,L6_CT
56478,Sst
56605,L6_IT_Car3
56618,L23_IT
56650,L23_IT
56792,Pvalb
57061,L23_IT
57320,L6_CT
57422,L6_CT
57571,L5_IT
57600,L56_NP
57881,L23_IT
57896,L5_PT
58046,Oligodendrocytes
58147,SMC
58154,OPC
58327,L45_IT
58377,L6_CT
58500,L6_CT
58526,Pvalb
58561,L6_CT
58662,L6_IT
58732,Oligodendrocytes
58908,L5_IT
59047,L5_IT
59063,Oligodendrocytes
59095,Microglia
59104,VLMC
59178,Microglia
59363,Oligodendrocytes
59496,L23_IT
59547,Endothelial
59578,L45_IT
59583,L45_IT
59647,L45_IT
59658,Astrocytes
59790,OPC
59793,L5_IT
59889,OPC
59992,L23_IT
59997,L45_IT
60201,L5_IT
60229,PVM
60294,L45_IT
60372,PVM
60423,Endothelial
60665,PVM
60901,L45_IT
60935,L5_IT
61237,L56_NP
61387,VLMC
61470,Sst
61635,L23_IT
61650,L45_IT
61681,L6_CT
61690,Microglia
61808,L45_IT
61857,OPC
61858,L23_IT
61892,L6_IT
62035,L23_IT
62119,Pvalb
62381,Pericytes
62442,Sncg
62483,L6_IT
62613,Astrocytes
62642,L6_CT
62667,Astrocytes
62759,L45_IT
62810,L23_IT
62986,Endothelial
62991,L23_IT
63027,Oligodendrocytes
63151,L23_IT
63168,Endothelial
63183,PVM
63464,L23_IT
63539,OPC
63615,Endothelial
63645,L23_IT
63665,L23_IT
63675,Pericytes
63701,Endothelial
63805,L45_IT
63824,L6_CT
63854,L45_IT
63863,Endothelial
64084,L5_IT
64163,Endothelial
64178,Sst
64199,L6_CT
64220,Microglia
64361,L23_IT
64384,L5_IT
64537,L45_IT
64564,VLMC
64639,Endothelial
64653,L23_IT
64703,Pvalb
65038,L5_PT
65200,L23_IT
65305,OPC
65372,L5_IT
65402,L6_IT
65415,L23_IT
65459,Astrocytes
65481,L23_IT
65531,L23_IT
65642,Astrocytes
65661,L23_IT
65671,OPC
65826,L5_PT
65964,Lamp5
66355,L6_IT
66390,L23_IT
66437,Endothelial
66452,Pvalb
66655,L45_IT
66674,VLMC
66735,OPC
66896,L45_IT
67001,L45_IT
67008,L5_IT
67061,L45_IT
67134,L23_IT
67373,Oligodendrocytes
67429,L6_CT
67467,L23_IT
67478,L5_PT
67522,L23_IT
67585,VLMC
67614,L23_IT
67770,OPC
67986,Astrocytes
68105,L45_IT
68307,L45_IT
68350,L6_IT
68356,Vip
68388,Pvalb
68482,OPC
68584,L6_IT
68715,L23_IT
68809,Astrocytes
68999,L45_IT
69133,PVM
69176,L5_IT
69201,Microglia
