CELL_ID,SUBCLASS
22,L45_IT
23,L5_PT
99,L23_IT
100,L23_IT
123,Astrocytes
164,L6_CT
172,L6b
286,Astrocytes
459,Pericytes
564,L6b
603,L5_IT
686,L5_PT
725,L5_PT
761,Endothelial
848,PVM
860,Endothelial
918,L5_PT
990,L6_CT
1029,L45_IT
1149,L6_CT
1223,Oligodendrocytes
1316,L23_IT
1393,L5_IT
1405,L45_IT
1411,L5_IT
1542,L45_IT
1605,L56_NP
1626,Pericytes
1871,L5_IT
1879,L45_IT
1903,L23_IT
2005,L6_CT
2046,Oligodendrocytes
2080,Oligodendrocytes
2081,Oligodendrocytes
2349,OPC
2498,L45_IT
2501,L23_IT
2765,L6_CT
2786,L5_PT
2800,L45_IT
2815,Endothelial
3075,L23_IT
3137,Astrocytes
3144,L5_IT
3265,L5_PT
3276,L23_IT
3395,L5_IT
3417,Astrocytes
3538,L23_IT
3571,L23_IT
3600,L6_CT
3644,L5_IT
3660,L6_CT
3717,SMC
3767,Pericytes
3771,Oligodendrocytes
3797,L6_CT
3802,L5_IT
3887,L23_IT
3964,L45_IT
4075,Astrocytes
4382,L45_IT
4467,L23_IT
4531,Astrocytes
4616,L6_CT
4622,L23_IT
4636,Pericytes
4652,L5_PT
4761,Astrocytes
4774,L5_IT
5121,OPC
5294,L45_IT
5312,SMC
5366,L5_PT
5376,Endothelial
5428,L5_PT
5498,Astrocytes
5581,L5_IT
5633,OPC
5658,L23_IT
5664,L23_IT
5933,L5_PT
5982,L56_NP
6019,Microglia
6142,L45_IT
6262,Pericytes
6451,Pericytes
6911,Oligodendrocytes
7004,Vip
7033,OPC
7037,L23_IT
7071,Pericytes
7110,L6_CT
7180,Astrocytes
7308,Microglia
7310,L6_CT
7347,L5_PT
7677,Astrocytes
7748,L45_IT
7767,L5_PT
7901,Astrocytes
7929,L23_IT
7941,Oligodendrocytes
7960,Pvalb
7986,L23_IT
7990,Oligodendrocytes
8044,L45_IT
8085,L45_IT
8110,Microglia
8137,L6_CT
8153,Endothelial
8178,Microglia
8197,L23_IT
8294,L45_IT
8337,L6_IT
8369,L6_CT
8399,Oligodendrocytes
8400,PVM
8558,L23_IT
8614,Microglia
8731,Oligodendrocytes
8830,Astrocytes
8873,Endothelial
8940,L56_NP
8959,L6_IT
8997,L6_IT
9057,L6_IT
9119,Lamp5
9131,L45_IT
9138,Endothelial
9151,L5_PT
9177,Endothelial
9227,L5_PT
9247,L56_NP
9449,OPC
9532,Pvalb
9555,SMC
9669,L6_IT
9691,Endothelial
9862,OPC
9924,Endothelial
10081,L6_CT
10113,Oligodendrocytes
10179,L23_IT
10228,Pvalb
10371,Astrocytes
10535,L5_IT
10623,L6_CT
10705,SMC
10871,L5_IT
10894,L6b
11008,L6_CT
11073,Oligodendrocytes
11117,Endothelial
11130,L6_CT
11397,L6_CT
11486,Pericytes
11512,L45_IT
11581,L45_IT
11594,L6_IT
11595,L6_CT
11635,Oligodendrocytes
11810,Vip
11812,L45_IT
11827,L45_IT
11911,L5_PT
11944,L6_CT
12278,L6_CT
12404,Endothelial
12475,L6_CT
12654,L56_NP
12677,L23_IT
12705,Endothelial
12722,Vip
12835,Oligodendrocytes
12868,L6_CT
12886,L6_CT
12946,Astrocytes
12947,Oligodendrocytes
13032,L45_IT
13110,L45_IT
13125,L6_IT
13242,L45_IT
13471,Astrocytes
13513,L6_IT
13603,Astrocytes
13676,L6_CT
13785,Oligodendrocytes
13823,L45_IT
13951,Astrocytes
14058,L45_IT
14200,Oligodendrocytes
14210,L23_IT
14274,L5_PT
14296,L6_CT
14305,L23_IT
14332,L23_IT
14387,L6_IT
14388,Pvalb
14549,L45_IT
14597,Pvalb
14605,L6_CT
14690,L23_IT
14735,L5_PT
14808,L5_PT
14829,L56_NP
14863,PVM
14900,L5_IT
14996,L5_PT
14999,L45_IT
15053,L6_CT
15115,L45_IT
15142,L23_IT
15248,L45_IT
15360,SMC
15438,L23_IT
15557,L5_IT
15597,L45_IT
15628,L23_IT
15678,L23_IT
15715,Oligodendrocytes
15759,Pericytes
15962,Microglia
16008,L45_IT
16101,L23_IT
16178,L6_IT
16194,L45_IT
16450,L5_PT
16463,L45_IT
16494,L6_CT
16509,L23_IT
16565,Pericytes
16783,L23_IT
16790,Endothelial
16823,Astrocytes
17006,L6_CT
17216,L23_IT
17250,L5_IT
17271,Endothelial
17478,Oligodendrocytes
17488,Oligodendrocytes
17566,L6_CT
17630,Oligodendrocytes
17690,Pericytes
17722,Pericytes
17801,L5_IT
17809,Astrocytes
17810,PVM
17857,L5_IT
17862,L6b
18081,L45_IT
18084,L45_IT
18102,Endothelial
18224,Endothelial
18297,L45_IT
18406,L45_IT
18414,Vip
18457,Endothelial
18594,L45_IT
18668,L6_CT
18975,L6b
19064,L23_IT
19075,Astrocytes
19086,VLMC
19090,L6_IT
19272,Oligodendrocytes
19322,L6_CT
19346,L6_CT
19385,Endothelial
19443,L5_IT
19485,Astrocytes
19541,Astrocytes
19561,Microglia
19593,L23_IT
19663,Oligodendrocytes
19688,L6_CT
19698,L5_IT
19800,Microglia
19853,L45_IT
19861,L45_IT
19865,Astrocytes
20041,Astrocytes
20144,SMC
20208,Astrocytes
20377,L23_IT
20464,Pericytes
20484,L45_IT
20726,Astrocytes
20806,L6_CT
20813,Endothelial
20898,L5_IT
20965,Astrocytes
21120,Endothelial
21126,PVM
21139,L23_IT
21204,Astrocytes
21268,L23_IT
21282,Oligodendrocytes
21293,L5_PT
21302,Microglia
21317,Pvalb
21341,L5_IT
21364,L5_IT
21390,Astrocytes
21431,L23_IT
21482,L45_IT
21570,Oligodendrocytes
21583,L45_IT
21717,L45_IT
21793,L23_IT
21856,L6_CT
21905,L56_NP
21906,Pericytes
21940,Oligodendrocytes
22008,L23_IT
22028,L45_IT
22054,L6_CT
22064,L5_IT
